Time,Temperature,Pressure,Sound,Light,Pressure,Humidity
s,°C,kPa,dBA,lx,kPa,%RH
0,24.5,98.2,40,297,98.93,44.1
0.96,24.5,98,40,298,98.97,44
1.92,24.5,98.2,40,297,98.95,44
2.88,24.5,98,40,297,98.97,44
3.84,24.5,98,41.5,298,98.97,44
4.8,24.5,98,67.4,298,98.95,44
5.76,24.5,98,65.2,297,98.96,43.9
6.72,24.5,98.2,59,298,98.94,43.9
7.68,24.5,98,51.9,299,98.95,43.9
8.64,24.5,98,67.4,299,98.98,43.9
9.6,24.5,98,40,300,98.94,43.9
10.56,24.5,98.2,55.6,289,98.96,43.9
11.52,24.5,98.2,66.6,314,98.96,43.9
12.48,24.5,98,40,324,98.96,43.9
13.44,24.6,98,55.2,325,98.98,43.9
14.4,25.2,98,40,325,98.95,43.9
15.36,25.9,98.2,40,326,98.94,43.9
16.32,26.4,98.2,40,326,98.94,43.9
17.28,26.9,98,40,326,98.93,43.9
18.24,27.3,98,45.3,321,98.95,43.9
19.2,27.7,98,40,314,98.94,43.9
20.16,28,98.2,52.7,282,98.98,43.9
21.12,28.3,98,81.7,280,98.98,43.9
22.08,28.5,98,40,283,98.98,43.9
23.04,28.8,98.2,40,280,98.96,43.9
24,29,98.2,61.2,253,98.94,43.9
24.96,29.2,98.2,72.6,271,98.94,43.9
25.92,29.3,98,62.1,291,98.97,43.9
26.88,29.5,98.6,40,299,98.94,43.9
27.84,29.6,98.6,40,294,98.97,43.9
28.8,29.8,98.6,40,287,98.98,43.9
29.76,29.9,98.6,40,286,98.96,43.9
30.72,30,98.6,40,286,98.95,43.9
31.68,30,98.8,40,287,98.96,43.9
32.64,30.1,98.8,40,287,98.97,43.9
33.6,30.2,98.8,40,287,98.96,43.9
34.56,30.3,98.8,53.6,286,98.94,43.9
35.52,30.3,98.8,56.7,290,98.95,43.9
36.48,30.4,98.8,50.5,293,98.97,43.9
37.44,30.4,98.8,40,306,98.94,43.9
38.4,30.5,98.8,52.6,311,98.94,43.9
39.36,30.5,98.8,41.1,313,98.94,43.9
40.32,30.5,98.8,56.4,313,98.96,43.9
41.28,30.5,98.8,40,313,98.96,43.9
42.24,30.6,99,48,314,98.95,43.9
43.2,30.6,99,76.5,314,98.94,43.9
44.16,30.6,99,70.2,315,98.97,43.9
45.12,30.6,99,53.6,315,98.94,43.9
46.08,30.6,99,53.9,315,98.95,43.9
47.04,30.6,99,40,315,98.96,43.9
48,30.6,99,74,315,98.95,43.9
48.96,30.6,99,55.7,315,98.94,43.9
49.92,30.6,99,71.3,315,98.94,43.9
50.88,30.6,99,40,315,98.97,43.9
51.84,30.6,99,71,315,98.94,43.8
52.8,30.6,99,65.6,316,98.97,43.9
53.76,30.6,99,60.2,317,98.96,43.9
54.72,30.6,99,69.2,318,98.98,43.8
55.68,30.6,99,57.5,318,98.94,43.9
56.64,30.6,99,40,318,98.97,43.8
57.6,30.6,99,63,318,98.99,43.8
58.56,30.6,99,40,318,98.96,43.8
59.52,30.6,98.8,40,318,98.94,43.8
60.48,30.6,99,69.7,318,98.94,43.8
61.44,30.6,99,40,318,98.93,43.8
62.4,30.6,99,64,319,98.95,43.8
63.36,30.6,99,45.4,320,98.94,43.8
64.32,30.6,99,40,320,98.94,43.8
65.28,30.6,99,63.5,320,98.95,43.8
66.24,30.6,99,40,321,98.97,43.8
67.2,30.6,99,67.8,320,98.96,43.8
68.16,30.6,99,58.1,322,98.95,43.8
69.12,30.6,99,61.7,330,98.95,43.8
70.08,30.6,99,63.5,607,98.98,43.8
71.04,30.6,99,40,603,98.92,43.8
72,30.6,99,40,556,98.94,43.8
72.96,30.6,99,58.2,556,98.95,43.8
73.92,30.6,99,58.1,554,98.94,43.8
74.88,30.6,98.8,40,573,98.93,43.8
75.84,30.6,99,66.2,629,98.95,43.9
76.8,30.6,99,42.4,113,98.96,43.9
77.76,30.6,99,60.7,24,98.95,43.9
78.72,30.6,99,56.9,12,98.92,43.9
79.68,30.6,99,68.2,10,98.94,43.9
80.64,30.6,99,78,9,98.95,44
81.6,30.6,99,56.7,10,98.94,44
82.56,30.6,99,70.5,10,98.93,44
83.52,30.6,99,61.6,10,98.95,44
84.48,30.6,99,62.4,10,98.96,44.1
85.44,30.6,99,40,264,98.93,44.1
86.4,30.5,99,58,601,98.96,44.1
87.36,30.5,99,61.5,611,98.94,44.1
88.32,30.5,99,62.4,651,98.96,44.1
89.28,30.5,99.2,70.8,229,98.95,44.2
90.24,30.5,99.2,60.5,152,98.94,44.2
91.2,30.5,99,74.9,144,98.93,44.2
92.16,30.5,99,43.8,144,98.97,44.2
93.12,30.5,99,71.8,144,98.96,44.2
94.08,30.5,98.4,67.9,144,98.96,44.2
